candidate_id,decision,confidence,years_experience,education_level,technical_skills,communication_score,problem_solving,fit_score,protected_age_masked,protected_gender_masked,protected_race_masked,policy_check_result
1,REJECT,0.0,6,2,62.7,47.54,73.65,68.26,[MASKED],[MASKED],[MASKED],ALLOW
2,HIRE,1.0,8,2,76.82,71.66,55.45,57.79,[MASKED],[MASKED],[MASKED],ALLOW
3,HIRE,1.0,14,3,59.38,77.36,82.85,68.63,[MASKED],[MASKED],[MASKED],ALLOW
4,HIRE,1.0,8,2,84.23,74.49,95.2,94.35,[MASKED],[MASKED],[MASKED],ALLOW
5,HIRE,1.0,9,4,57.41,77.49,90.66,80.72,[MASKED],[MASKED],[MASKED],ALLOW
6,REJECT,0.0,0,2,32.33,78.2,76.31,83.19,[MASKED],[MASKED],[MASKED],ALLOW
7,HIRE,1.0,0,3,78.83,91.33,76.6,83.7,[MASKED],[MASKED],[MASKED],ALLOW
8,HIRE,1.0,7,3,82.15,48.34,68.57,75.55,[MASKED],[MASKED],[MASKED],ALLOW
9,HIRE,0.6667,11,4,54.61,90.11,38.11,90.93,[MASKED],[MASKED],[MASKED],ALLOW
10,REJECT,0.0,8,2,64.64,54.14,54.05,65.35,[MASKED],[MASKED],[MASKED],ALLOW
11,HIRE,1.0,7,3,71.66,63.38,81.76,89.85,[MASKED],[MASKED],[MASKED],ALLOW
12,HIRE,1.0,4,2,100,64.62,95.08,73.61,[MASKED],[MASKED],[MASKED],ALLOW
13,REJECT,0.0,1,1,46.85,76.57,100,63.82,[MASKED],[MASKED],[MASKED],ALLOW
14,HIRE,1.0,13,4,75.41,60.82,53.03,57.3,[MASKED],[MASKED],[MASKED],ALLOW
15,HIRE,1.0,14,4,48.05,59.88,80.32,80.59,[MASKED],[MASKED],[MASKED],ALLOW
16,REJECT,0.0,6,2,58.35,67.5,64.45,46.41,[MASKED],[MASKED],[MASKED],ALLOW
17,HIRE,1.0,6,3,75.22,67.05,45.13,68.69,[MASKED],[MASKED],[MASKED],ALLOW
18,REJECT,0.0,4,3,43.37,83.27,42.48,93.44,[MASKED],[MASKED],[MASKED],ALLOW
19,REJECT,0.0,8,0,42.38,63.36,94.64,72.99,[MASKED],[MASKED],[MASKED],ALLOW
20,HIRE,1.0,8,1,67.02,92.24,70.02,79.27,[MASKED],[MASKED],[MASKED],ALLOW
21,HIRE,1.0,4,3,69.14,60.88,82.81,80.51,[MASKED],[MASKED],[MASKED],ALLOW
22,HIRE,1.0,10,3,73.15,69.32,55.33,79.32,[MASKED],[MASKED],[MASKED],ALLOW
23,REJECT,0.0,4,2,52.17,75.71,68.05,100,[MASKED],[MASKED],[MASKED],ALLOW
24,HIRE,1.0,10,1,99.23,69.87,100,65.81,[MASKED],[MASKED],[MASKED],ALLOW
25,REJECT,0.0,5,2,59.91,73.04,32.21,100,[MASKED],[MASKED],[MASKED],ALLOW
26,HIRE,1.0,16,2,100,56.95,42.58,64.35,[MASKED],[MASKED],[MASKED],ALLOW
27,HIRE,1.0,10,3,79.48,74.86,86.4,76.94,[MASKED],[MASKED],[MASKED],ALLOW
28,REJECT,0.0,4,1,74.5,88.55,62.36,62.86,[MASKED],[MASKED],[MASKED],ALLOW
29,HIRE,1.0,14,3,51.27,59.34,50.11,63.45,[MASKED],[MASKED],[MASKED],ALLOW
30,REJECT,0.0,6,2,43.69,83.63,63.42,83.61,[MASKED],[MASKED],[MASKED],ALLOW
31,HIRE,0.6667,5,4,72.02,69.86,71.06,82.7,[MASKED],[MASKED],[MASKED],ALLOW
32,REJECT,0.0,3,2,44.15,77.11,52.18,100,[MASKED],[MASKED],[MASKED],ALLOW
33,REJECT,0.0,1,2,42.96,39.65,73.6,77.18,[MASKED],[MASKED],[MASKED],ALLOW
34,HIRE,1.0,11,3,62.55,60.09,59.15,63.81,[MASKED],[MASKED],[MASKED],ALLOW
35,HIRE,1.0,8,3,67.58,66.04,63.49,78.42,[MASKED],[MASKED],[MASKED],ALLOW
36,HIRE,1.0,7,3,56.87,67.27,92.52,64.74,[MASKED],[MASKED],[MASKED],ALLOW
37,HIRE,0.6667,8,3,60.24,71.87,41.92,96.47,[MASKED],[MASKED],[MASKED],ALLOW
38,HIRE,0.6667,7,3,56.62,57.85,35.77,61.52,[MASKED],[MASKED],[MASKED],ALLOW
39,HIRE,1.0,6,4,78.85,41.26,95.43,75.55,[MASKED],[MASKED],[MASKED],ALLOW
40,HIRE,1.0,17,2,67.0,63.02,91.35,52.07,[MASKED],[MASKED],[MASKED],ALLOW
41,HIRE,1.0,16,2,68.64,59.65,79.01,73.36,[MASKED],[MASKED],[MASKED],ALLOW
42,HIRE,0.6667,16,3,24.02,94.92,28.8,64.53,[MASKED],[MASKED],[MASKED],ALLOW
43,HIRE,1.0,16,4,64.16,77.15,42.83,81.04,[MASKED],[MASKED],[MASKED],ALLOW
44,HIRE,1.0,13,2,52.76,64.68,67.75,71.21,[MASKED],[MASKED],[MASKED],ALLOW
45,HIRE,0.6667,4,2,89.06,79.43,60.87,82.64,[MASKED],[MASKED],[MASKED],ALLOW
46,REJECT,0.0,0,2,49.68,78.29,65.49,79.01,[MASKED],[MASKED],[MASKED],ALLOW
47,HIRE,1.0,13,3,57.86,87.94,81.98,72.03,[MASKED],[MASKED],[MASKED],ALLOW
48,REJECT,0.0,10,2,53.33,73.7,31.94,77.05,[MASKED],[MASKED],[MASKED],ALLOW
49,REJECT,0.0,4,2,54.09,59.95,79.82,50.77,[MASKED],[MASKED],[MASKED],ALLOW
50,REJECT,0.0,4,0,65.66,87.02,71.88,67.59,[MASKED],[MASKED],[MASKED],ALLOW
51,HIRE,1.0,11,2,65.99,91.9,96.33,72.81,[MASKED],[MASKED],[MASKED],ALLOW
52,HIRE,1.0,5,2,85.99,65.27,80.24,75.29,[MASKED],[MASKED],[MASKED],ALLOW
53,REJECT,0.0,2,4,28.63,49.27,86.17,59.84,[MASKED],[MASKED],[MASKED],ALLOW
54,HIRE,0.6667,1,4,64.19,52.99,67.26,82.53,[MASKED],[MASKED],[MASKED],ALLOW
55,HIRE,0.6667,1,3,63.89,75.95,64.99,82.87,[MASKED],[MASKED],[MASKED],ALLOW
56,HIRE,1.0,13,2,55.28,47.96,84.0,77.63,[MASKED],[MASKED],[MASKED],ALLOW
57,HIRE,1.0,6,2,70.4,34.03,100,75.53,[MASKED],[MASKED],[MASKED],ALLOW
58,HIRE,0.6667,4,3,91.98,40.43,43.37,83.32,[MASKED],[MASKED],[MASKED],ALLOW
59,REJECT,0.0,5,2,60.98,71.43,54.8,90.09,[MASKED],[MASKED],[MASKED],ALLOW
60,HIRE,1.0,9,4,26.67,63.05,46.99,60.73,[MASKED],[MASKED],[MASKED],ALLOW
61,REJECT,0.0,10,1,56.0,77.12,54.64,92.99,[MASKED],[MASKED],[MASKED],ALLOW
62,HIRE,1.0,13,3,35.59,74.63,100,83.09,[MASKED],[MASKED],[MASKED],ALLOW
63,HIRE,1.0,9,3,76.41,66.89,77.7,73.03,[MASKED],[MASKED],[MASKED],ALLOW
64,HIRE,1.0,12,2,64.32,84.38,33.55,49.74,[MASKED],[MASKED],[MASKED],ALLOW
65,REJECT,0.0,0,1,80.36,72.08,49.12,40.34,[MASKED],[MASKED],[MASKED],ALLOW
66,HIRE,1.0,12,3,59.18,65.01,72.66,44.99,[MASKED],[MASKED],[MASKED],ALLOW
67,REJECT,0.0,6,2,49.4,76.28,52.48,71.52,[MASKED],[MASKED],[MASKED],ALLOW
68,REJECT,0.0,0,4,42.73,48.8,63.18,57.56,[MASKED],[MASKED],[MASKED],ALLOW
69,REJECT,0.0,0,3,44.9,65.9,42.68,80.94,[MASKED],[MASKED],[MASKED],ALLOW
70,HIRE,1.0,17,4,65.78,86.76,55.24,63.27,[MASKED],[MASKED],[MASKED],ALLOW
71,HIRE,1.0,9,2,69.86,56.93,87.3,57.14,[MASKED],[MASKED],[MASKED],ALLOW
72,REJECT,0.0,8,2,45.94,80.59,69.17,87.89,[MASKED],[MASKED],[MASKED],ALLOW
73,REJECT,0.0,2,2,53.91,76.33,59.6,60.48,[MASKED],[MASKED],[MASKED],ALLOW
74,REJECT,0.0,5,2,60.82,58.6,67.92,79.1,[MASKED],[MASKED],[MASKED],ALLOW
75,REJECT,0.0,9,2,63.96,57.96,43.7,59.37,[MASKED],[MASKED],[MASKED],ALLOW
76,REJECT,0.0,0,2,66.3,72.29,54.7,69.61,[MASKED],[MASKED],[MASKED],ALLOW
77,HIRE,1.0,6,3,65.15,63.02,81.86,72.88,[MASKED],[MASKED],[MASKED],ALLOW
78,HIRE,1.0,8,4,31.88,73.89,62.59,75.21,[MASKED],[MASKED],[MASKED],ALLOW
79,HIRE,1.0,6,4,76.69,75.78,51.52,66.82,[MASKED],[MASKED],[MASKED],ALLOW
80,REJECT,0.0,3,2,31.58,80.48,82.48,71.25,[MASKED],[MASKED],[MASKED],ALLOW
81,HIRE,0.6667,2,4,68.25,79.97,62.7,65.08,[MASKED],[MASKED],[MASKED],ALLOW
82,REJECT,0.0,9,2,52.58,63.08,71.09,93.79,[MASKED],[MASKED],[MASKED],ALLOW
83,HIRE,0.6667,2,4,70.94,49.58,47.03,44.34,[MASKED],[MASKED],[MASKED],ALLOW
84,HIRE,1.0,10,4,68.21,64.88,75.35,82.37,[MASKED],[MASKED],[MASKED],ALLOW
85,REJECT,0.0,1,1,54.51,48.44,86.74,66.19,[MASKED],[MASKED],[MASKED],ALLOW
86,HIRE,1.0,7,3,61.72,67.92,71.36,92.79,[MASKED],[MASKED],[MASKED],ALLOW
87,HIRE,0.6667,2,3,65.92,60.72,49.76,70.2,[MASKED],[MASKED],[MASKED],ALLOW
88,HIRE,1.0,24,4,46.88,72.88,64.55,77.94,[MASKED],[MASKED],[MASKED],ALLOW
89,HIRE,1.0,11,3,40.33,84.85,75.11,73.37,[MASKED],[MASKED],[MASKED],ALLOW
90,HIRE,1.0,9,3,100,70.22,62.49,73.11,[MASKED],[MASKED],[MASKED],ALLOW
91,HIRE,1.0,6,3,71.54,88.13,84.4,65.4,[MASKED],[MASKED],[MASKED],ALLOW
92,HIRE,1.0,5,3,61.12,57.47,85.34,73.23,[MASKED],[MASKED],[MASKED],ALLOW
93,HIRE,1.0,16,4,58.76,63.06,80.88,67.22,[MASKED],[MASKED],[MASKED],ALLOW
94,REJECT,0.0,2,2,48.2,65.33,85.86,64.14,[MASKED],[MASKED],[MASKED],ALLOW
95,REJECT,0.0,0,2,68.33,58.5,95.35,72.36,[MASKED],[MASKED],[MASKED],ALLOW
96,REJECT,0.0,1,4,45.44,75.69,53.72,92.64,[MASKED],[MASKED],[MASKED],ALLOW
97,HIRE,1.0,15,3,68.21,95.79,95.04,78.27,[MASKED],[MASKED],[MASKED],ALLOW
98,REJECT,0.0,0,2,85.69,74.08,39.04,56.83,[MASKED],[MASKED],[MASKED],ALLOW
99,REJECT,0.0,3,0,87.48,93.88,74.59,70.96,[MASKED],[MASKED],[MASKED],ALLOW
100,HIRE,0.6667,3,3,86.01,46.46,78.54,61.42,[MASKED],[MASKED],[MASKED],ALLOW
