applicant_id,decision,confidence,policy_allowed,policy_reason
1,APPROVE,0.949537,True,All features present in approved set; no protected attributes detected.
2,DENY,0.423128,True,All features present in approved set; no protected attributes detected.
3,APPROVE,0.58202,True,All features present in approved set; no protected attributes detected.
4,APPROVE,0.971837,True,All features present in approved set; no protected attributes detected.
5,DENY,0.329472,True,All features present in approved set; no protected attributes detected.
6,APPROVE,0.967846,True,All features present in approved set; no protected attributes detected.
7,APPROVE,0.894484,True,All features present in approved set; no protected attributes detected.
8,DENY,0.148816,True,All features present in approved set; no protected attributes detected.
9,DENY,0.236243,True,All features present in approved set; no protected attributes detected.
10,DENY,0.026674,True,All features present in approved set; no protected attributes detected.
11,DENY,0.10234,True,All features present in approved set; no protected attributes detected.
12,APPROVE,0.656904,True,All features present in approved set; no protected attributes detected.
13,APPROVE,0.537999,True,All features present in approved set; no protected attributes detected.
14,DENY,0.187914,True,All features present in approved set; no protected attributes detected.
15,DENY,0.029103,True,All features present in approved set; no protected attributes detected.
16,DENY,0.239557,True,All features present in approved set; no protected attributes detected.
17,APPROVE,0.910451,True,All features present in approved set; no protected attributes detected.
18,DENY,0.023894,True,All features present in approved set; no protected attributes detected.
19,APPROVE,0.773408,True,All features present in approved set; no protected attributes detected.
20,APPROVE,0.900451,True,All features present in approved set; no protected attributes detected.
21,APPROVE,0.975838,True,All features present in approved set; no protected attributes detected.
22,APPROVE,0.879957,True,All features present in approved set; no protected attributes detected.
23,APPROVE,0.730475,True,All features present in approved set; no protected attributes detected.
24,APPROVE,0.953266,True,All features present in approved set; no protected attributes detected.
25,APPROVE,0.816253,True,All features present in approved set; no protected attributes detected.
26,DENY,0.038623,True,All features present in approved set; no protected attributes detected.
27,APPROVE,0.833136,True,All features present in approved set; no protected attributes detected.
28,DENY,0.189779,True,All features present in approved set; no protected attributes detected.
29,DENY,0.01118,True,All features present in approved set; no protected attributes detected.
30,APPROVE,0.942957,True,All features present in approved set; no protected attributes detected.
31,DENY,0.081527,True,All features present in approved set; no protected attributes detected.
32,APPROVE,0.689309,True,All features present in approved set; no protected attributes detected.
33,APPROVE,0.775409,True,All features present in approved set; no protected attributes detected.
34,DENY,0.097639,True,All features present in approved set; no protected attributes detected.
35,DENY,0.181435,True,All features present in approved set; no protected attributes detected.
36,DENY,0.02999,True,All features present in approved set; no protected attributes detected.
37,DENY,0.059959,True,All features present in approved set; no protected attributes detected.
38,APPROVE,0.924096,True,All features present in approved set; no protected attributes detected.
39,DENY,0.034005,True,All features present in approved set; no protected attributes detected.
40,APPROVE,0.871316,True,All features present in approved set; no protected attributes detected.
41,DENY,0.320611,True,All features present in approved set; no protected attributes detected.
42,APPROVE,0.713575,True,All features present in approved set; no protected attributes detected.
43,DENY,0.171335,True,All features present in approved set; no protected attributes detected.
44,DENY,0.30377,True,All features present in approved set; no protected attributes detected.
45,APPROVE,0.983341,True,All features present in approved set; no protected attributes detected.
46,APPROVE,0.997666,True,All features present in approved set; no protected attributes detected.
47,DENY,0.244541,True,All features present in approved set; no protected attributes detected.
48,APPROVE,0.780202,True,All features present in approved set; no protected attributes detected.
49,APPROVE,0.949969,True,All features present in approved set; no protected attributes detected.
50,DENY,0.079093,True,All features present in approved set; no protected attributes detected.
51,APPROVE,0.643129,True,All features present in approved set; no protected attributes detected.
52,DENY,0.173668,True,All features present in approved set; no protected attributes detected.
53,APPROVE,0.955757,True,All features present in approved set; no protected attributes detected.
54,DENY,0.070325,True,All features present in approved set; no protected attributes detected.
55,APPROVE,0.959193,True,All features present in approved set; no protected attributes detected.
56,APPROVE,0.958638,True,All features present in approved set; no protected attributes detected.
57,DENY,0.069551,True,All features present in approved set; no protected attributes detected.
58,APPROVE,0.951562,True,All features present in approved set; no protected attributes detected.
59,DENY,0.206591,True,All features present in approved set; no protected attributes detected.
60,DENY,0.008444,True,All features present in approved set; no protected attributes detected.
61,APPROVE,0.968467,True,All features present in approved set; no protected attributes detected.
62,DENY,0.024777,True,All features present in approved set; no protected attributes detected.
63,DENY,0.282352,True,All features present in approved set; no protected attributes detected.
64,DENY,0.34778,True,All features present in approved set; no protected attributes detected.
65,DENY,0.06455,True,All features present in approved set; no protected attributes detected.
66,APPROVE,0.604459,True,All features present in approved set; no protected attributes detected.
67,DENY,0.092946,True,All features present in approved set; no protected attributes detected.
68,DENY,0.331555,True,All features present in approved set; no protected attributes detected.
69,DENY,0.01398,True,All features present in approved set; no protected attributes detected.
70,APPROVE,0.932654,True,All features present in approved set; no protected attributes detected.
71,APPROVE,0.551262,True,All features present in approved set; no protected attributes detected.
72,APPROVE,0.868593,True,All features present in approved set; no protected attributes detected.
73,APPROVE,0.828185,True,All features present in approved set; no protected attributes detected.
74,DENY,0.273279,True,All features present in approved set; no protected attributes detected.
75,DENY,0.078937,True,All features present in approved set; no protected attributes detected.
76,APPROVE,0.806876,True,All features present in approved set; no protected attributes detected.
77,APPROVE,0.904163,True,All features present in approved set; no protected attributes detected.
78,DENY,0.051308,True,All features present in approved set; no protected attributes detected.
79,APPROVE,0.889254,True,All features present in approved set; no protected attributes detected.
80,DENY,0.177575,True,All features present in approved set; no protected attributes detected.
81,DENY,0.303181,True,All features present in approved set; no protected attributes detected.
82,APPROVE,0.943171,True,All features present in approved set; no protected attributes detected.
83,APPROVE,0.808276,True,All features present in approved set; no protected attributes detected.
84,DENY,0.428664,True,All features present in approved set; no protected attributes detected.
85,DENY,0.141768,True,All features present in approved set; no protected attributes detected.
86,DENY,0.115916,True,All features present in approved set; no protected attributes detected.
87,APPROVE,0.772328,True,All features present in approved set; no protected attributes detected.
88,APPROVE,0.827105,True,All features present in approved set; no protected attributes detected.
89,DENY,0.215366,True,All features present in approved set; no protected attributes detected.
90,APPROVE,0.88429,True,All features present in approved set; no protected attributes detected.
91,DENY,0.318173,True,All features present in approved set; no protected attributes detected.
92,APPROVE,0.794051,True,All features present in approved set; no protected attributes detected.
93,APPROVE,0.880928,True,All features present in approved set; no protected attributes detected.
94,DENY,0.35009,True,All features present in approved set; no protected attributes detected.
95,DENY,0.099216,True,All features present in approved set; no protected attributes detected.
96,APPROVE,0.780523,True,All features present in approved set; no protected attributes detected.
97,DENY,0.070953,True,All features present in approved set; no protected attributes detected.
98,DENY,0.01675,True,All features present in approved set; no protected attributes detected.
99,APPROVE,0.50609,True,All features present in approved set; no protected attributes detected.
100,APPROVE,0.922295,True,All features present in approved set; no protected attributes detected.
101,DENY,0.14025,True,All features present in approved set; no protected attributes detected.
102,APPROVE,0.972638,True,All features present in approved set; no protected attributes detected.
103,APPROVE,0.91142,True,All features present in approved set; no protected attributes detected.
104,APPROVE,0.872815,True,All features present in approved set; no protected attributes detected.
105,DENY,0.410713,True,All features present in approved set; no protected attributes detected.
106,APPROVE,0.807879,True,All features present in approved set; no protected attributes detected.
107,APPROVE,0.520766,True,All features present in approved set; no protected attributes detected.
108,DENY,0.229193,True,All features present in approved set; no protected attributes detected.
109,DENY,0.034144,True,All features present in approved set; no protected attributes detected.
110,APPROVE,0.767319,True,All features present in approved set; no protected attributes detected.
111,APPROVE,0.667505,True,All features present in approved set; no protected attributes detected.
112,DENY,0.240876,True,All features present in approved set; no protected attributes detected.
113,APPROVE,0.70522,True,All features present in approved set; no protected attributes detected.
114,APPROVE,0.899908,True,All features present in approved set; no protected attributes detected.
115,DENY,0.113982,True,All features present in approved set; no protected attributes detected.
116,DENY,0.133378,True,All features present in approved set; no protected attributes detected.
117,APPROVE,0.903,True,All features present in approved set; no protected attributes detected.
118,DENY,0.11534,True,All features present in approved set; no protected attributes detected.
119,DENY,0.356753,True,All features present in approved set; no protected attributes detected.
120,APPROVE,0.883741,True,All features present in approved set; no protected attributes detected.
121,DENY,0.150974,True,All features present in approved set; no protected attributes detected.
122,DENY,0.069696,True,All features present in approved set; no protected attributes detected.
123,DENY,0.051513,True,All features present in approved set; no protected attributes detected.
124,APPROVE,0.786658,True,All features present in approved set; no protected attributes detected.
125,DENY,0.106611,True,All features present in approved set; no protected attributes detected.
126,DENY,0.174617,True,All features present in approved set; no protected attributes detected.
127,APPROVE,0.868062,True,All features present in approved set; no protected attributes detected.
128,DENY,0.106419,True,All features present in approved set; no protected attributes detected.
129,DENY,0.24018,True,All features present in approved set; no protected attributes detected.
130,APPROVE,0.910589,True,All features present in approved set; no protected attributes detected.
131,DENY,0.373947,True,All features present in approved set; no protected attributes detected.
132,APPROVE,0.543176,True,All features present in approved set; no protected attributes detected.
133,DENY,0.086301,True,All features present in approved set; no protected attributes detected.
134,DENY,0.240386,True,All features present in approved set; no protected attributes detected.
135,APPROVE,0.730505,True,All features present in approved set; no protected attributes detected.
136,DENY,0.02944,True,All features present in approved set; no protected attributes detected.
137,APPROVE,0.741172,True,All features present in approved set; no protected attributes detected.
138,DENY,0.034026,True,All features present in approved set; no protected attributes detected.
139,APPROVE,0.967765,True,All features present in approved set; no protected attributes detected.
140,DENY,0.024644,True,All features present in approved set; no protected attributes detected.
141,APPROVE,0.680069,True,All features present in approved set; no protected attributes detected.
142,DENY,0.051349,True,All features present in approved set; no protected attributes detected.
143,APPROVE,0.729281,True,All features present in approved set; no protected attributes detected.
144,DENY,0.049117,True,All features present in approved set; no protected attributes detected.
145,APPROVE,0.609081,True,All features present in approved set; no protected attributes detected.
146,DENY,0.084383,True,All features present in approved set; no protected attributes detected.
147,APPROVE,0.593331,True,All features present in approved set; no protected attributes detected.
148,APPROVE,0.901021,True,All features present in approved set; no protected attributes detected.
149,DENY,0.304567,True,All features present in approved set; no protected attributes detected.
150,DENY,0.456987,True,All features present in approved set; no protected attributes detected.
151,APPROVE,0.763662,True,All features present in approved set; no protected attributes detected.
152,APPROVE,0.836324,True,All features present in approved set; no protected attributes detected.
153,APPROVE,0.593839,True,All features present in approved set; no protected attributes detected.
154,DENY,0.219166,True,All features present in approved set; no protected attributes detected.
155,DENY,0.10693,True,All features present in approved set; no protected attributes detected.
156,APPROVE,0.822614,True,All features present in approved set; no protected attributes detected.
157,APPROVE,0.892664,True,All features present in approved set; no protected attributes detected.
158,APPROVE,0.959679,True,All features present in approved set; no protected attributes detected.
159,APPROVE,0.989921,True,All features present in approved set; no protected attributes detected.
160,APPROVE,0.993693,True,All features present in approved set; no protected attributes detected.
161,DENY,0.26237,True,All features present in approved set; no protected attributes detected.
162,DENY,0.155231,True,All features present in approved set; no protected attributes detected.
163,APPROVE,0.692786,True,All features present in approved set; no protected attributes detected.
164,DENY,0.053623,True,All features present in approved set; no protected attributes detected.
165,APPROVE,0.829709,True,All features present in approved set; no protected attributes detected.
166,DENY,0.188744,True,All features present in approved set; no protected attributes detected.
167,APPROVE,0.708081,True,All features present in approved set; no protected attributes detected.
168,APPROVE,0.73557,True,All features present in approved set; no protected attributes detected.
169,DENY,0.373656,True,All features present in approved set; no protected attributes detected.
170,APPROVE,0.952647,True,All features present in approved set; no protected attributes detected.
171,APPROVE,0.91416,True,All features present in approved set; no protected attributes detected.
172,DENY,0.336736,True,All features present in approved set; no protected attributes detected.
173,DENY,0.136519,True,All features present in approved set; no protected attributes detected.
174,DENY,0.128711,True,All features present in approved set; no protected attributes detected.
175,DENY,0.006388,True,All features present in approved set; no protected attributes detected.
176,DENY,0.072688,True,All features present in approved set; no protected attributes detected.
177,APPROVE,0.867095,True,All features present in approved set; no protected attributes detected.
178,APPROVE,0.971064,True,All features present in approved set; no protected attributes detected.
179,APPROVE,0.988186,True,All features present in approved set; no protected attributes detected.
180,DENY,0.103756,True,All features present in approved set; no protected attributes detected.
181,DENY,0.191163,True,All features present in approved set; no protected attributes detected.
182,APPROVE,0.956065,True,All features present in approved set; no protected attributes detected.
183,DENY,0.089393,True,All features present in approved set; no protected attributes detected.
184,DENY,0.029697,True,All features present in approved set; no protected attributes detected.
185,DENY,0.366909,True,All features present in approved set; no protected attributes detected.
186,APPROVE,0.954641,True,All features present in approved set; no protected attributes detected.
187,APPROVE,0.883965,True,All features present in approved set; no protected attributes detected.
188,DENY,0.022656,True,All features present in approved set; no protected attributes detected.
189,APPROVE,0.864226,True,All features present in approved set; no protected attributes detected.
190,APPROVE,0.960854,True,All features present in approved set; no protected attributes detected.
191,APPROVE,0.994127,True,All features present in approved set; no protected attributes detected.
192,APPROVE,0.869528,True,All features present in approved set; no protected attributes detected.
193,DENY,0.06113,True,All features present in approved set; no protected attributes detected.
194,APPROVE,0.79265,True,All features present in approved set; no protected attributes detected.
195,DENY,0.157066,True,All features present in approved set; no protected attributes detected.
196,DENY,0.485093,True,All features present in approved set; no protected attributes detected.
197,APPROVE,0.820182,True,All features present in approved set; no protected attributes detected.
198,APPROVE,0.949795,True,All features present in approved set; no protected attributes detected.
199,DENY,0.097034,True,All features present in approved set; no protected attributes detected.
200,APPROVE,0.879141,True,All features present in approved set; no protected attributes detected.
